"code","description","record_type"
"O25","Недостатність харчування під час вагітності","ICD10"
"M60.17","Інтерстиціальний міозит, ділянка гомілковостопного суглоба та стопи","ICD10"
"V92.1","Утоплення та занурення у воду, не пов'язане з аварією на водному транспортному засобі, Пасажирське судно","ICD10"
"V48.33","Особа, яка знаходилася в легковому автомобілі, травмована внаслідок транспортного нещасного випадку без зіткнення, Особа без додаткового уточнення, що знаходилась у легковому автомобілі, травмована внаслідок не дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"M47.24","Інший спондильоз з радикулопатією, грудний відділ","ICD10"
"68496-9","Кількість живонароджених дітей у матері, мертвих на момент запису","LOINC"
"94500-6","Виявлення нуклеїнових кислот (РНК) SARS-CoV-2","LOINC"
"E87.3","Алкалоз","ICD10"
"U58.0","Танці","ICD10"
"F65.3","Вуайєризм","ICD10"
"N84.2","Поліп піхви","ICD10"
"K11.2","Сіалоаденіт","ICD10"
"A20.0","Бубонна чума","ICD10"
"R82.4","Ацетонурія","ICD10"
"46098-0","Стать","LOINC"
"U62.0","Пауерліфтинг","ICD10"
"R06.5","Ротове дихання","ICD10"
"O00.1","Трубна вагітність","ICD10"
"B87.9","Міаз, неуточнений","ICD10"
"N76.2","Гострий вульвіт","ICD10"
"Q18.7","Мікрохейлія","ICD10"
"Q54.8","Інша гіпоспадія","ICD10"
"I66.3","Окклюзія та стеноз мозочкових артерій","ICD10"
"R41.1","Антероградна амнезія","ICD10"
"M07.42","Артропатія при хворобі Крона [регіонарному ентериті] (K50.- †), плече","ICD10"
"X76","Навмисне завдання собі шкоди димом, вогнем та полум'ям","ICD10"
"V46.18","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок не дорожнього нещасного випадку, інший уточнений легковий автомобіль [легковик]","ICD10"
"U61.32","Карате","ICD10"
"V78.9","Особа, яка знаходилася в автобусі, травмована внаслідок транспортного нещасного випадку без зіткнення, Особа яка додаткового уточнення, що знаходилась у автобусі, травмована внаслідок дорожнього нещасного випадку","ICD10"
"M79.10","Міалгія, множинні локалізації","ICD10"
"Z57.3","Несприятливий вплив інших виробничих забруднювачів повітря","ICD10"
"F50.0","Нейрогенна анорексія","ICD10"
"M09.16","Ювенільний артрит при хворобі Крона [регіонарному ентериті] (K50.- †), гомілка","ICD10"
"S54.0","Травма ліктьового нерва у ділянці передпліччя","ICD10"
"Q62.4","Агенезія сечовода","ICD10"
"M24.27","Ураження зв'язок, ділянка гомілковостопного суглоба та стопи","ICD10"
"S16","Травма м'яза та сухожилка у ділянці шиї","ICD10"
